SKU,stock,price,msrp,rebate,sale,name,brand,category,form factor,CPU,RAM,DDR,storage,OS,GPU,VRAM,screen res.,screen type,WiFi,keyboard,touch,ethernet,release year,warranty,warranty desc.,type,CPU score,score,url,updated,discovered,scanned
11JN0093CA,11,1273.0,1349.0,75.0,76.0,ThinkCentre M75q Gen 2,Lenovo,Desktop Computer,Tiny,AMD Ryzen 7 PRO 5750GE,0,DDR4,512,Windows,Integrated,N/A,N/A,N/A,Yes,French,N/A,N/A,2023,3 Year,"3-year, Onsite",desktop,,N/A,https://www.directdial.com/ca/item/lenovo-thinkcentre-m75q-gen-2-11jn0093ca-desktop-computer/11jn0093ca,09/15/2024,09/17/2024,1
11JN0092CA,25,1039.0,1049.0,25.0,0,ThinkCentre M75q Gen 2,Lenovo,Desktop Computer,Tiny,AMD Ryzen 5 PRO 5650GE,0,DDR4,256,Windows,Integrated,N/A,N/A,N/A,Yes,French,N/A,N/A,2023,3 Year,"3-year, Onsite",desktop,,N/A,https://www.directdial.com/ca/item/lenovo-thinkcentre-m75q-gen-2-11jn0092ca-desktop-computer/11jn0092ca,09/15/2024,09/17/2024,1
283H9,24,1409.0,2324.97,0.0,916.0,OptiPlex 7000 7010,Dell,Desktop Computer,SFF,Intel Core i5-13500,0,DDR5,256,Windows,Integrated,N/A,N/A,N/A,No,English,N/A,N/A,2023,3 Year,3Y Basic Onsite Service with Hardware Support-Disti SnS,desktop,,N/A,https://www.directdial.com/ca/item/dell-optiplex-7000-7010-desktop-computer/283h9,09/15/2024,09/17/2024,1
0JDJ9,1,1861.0,2911.78,0.0,1000.0,OptiPlex 7000 7010,Dell,Desktop Computer,SFF,Intel Core i7-13700,0,DDR5,512,Windows,Integrated,N/A,N/A,N/A,No,English,N/A,N/A,2023,3 Year,3Y Basic Onsite Service with Hardware Support-Disti SnS,desktop,,N/A,https://www.directdial.com/ca/item/dell-optiplex-7000-7010-desktop-computer/0jdj9,09/15/2024,09/17/2024,1
9P2W8AT#ABC,3,1108.0,1079.0,0.0,0,Pro 400 G9,HP,Desktop Computer,SFF,Intel Core i5-12500,0,DDR4,512,Windows,Integrated,N/A,N/A,N/A,N/A,French,N/A,N/A,N/A,1 Year,"1 year (1/1/1) limited warranty includes 1 year of parts, labor and on-site repair.",desktop,,N/A,https://www.directdial.com/ca/item/hp-pro-400-g9-desktop-computer/9p2w8at-abc,09/15/2024,09/17/2024,1
11R8004GCA,8,1398.0,1419.0,25.0,21.0,ThinkCentre M75s Gen 2,Lenovo,Desktop Computer,SFF,AMD Ryzen 7 PRO 5750G,0,DDR4,512,Windows,Integrated,N/A,N/A,N/A,N/A,French,N/A,N/A,2023,3 Year,"Base Warranty: 3-year, OnsiteIncluded Upgrade: 3Y Premier Support Upgrade from 3Y Onsite",desktop,,N/A,https://www.directdial.com/ca/item/lenovo-thinkcentre-m75s-gen-2-11r8004gca-desktop-computer/11r8004gca,09/15/2024,09/17/2024,1
11T3000LUS,7,1228.0,1249.0,0.0,21.0,ThinkCentre M70q Gen 3,Lenovo,Desktop Computer,Tiny,Intel Core i5-12400T,0,DDR4,512,Windows,Integrated,N/A,N/A,N/A,Yes,English,N/A,N/A,N/A,3 Year,N/A,desktop,,N/A,https://www.directdial.com/ca/item/lenovo-thinkcentre-m70q-gen-3-11t3000lus-desktop-computer/11t3000lus,09/15/2024,09/17/2024,1
A12GVUT#ABA,617,1835.0,2089.0,250.0,254.0,Elite Mini 800 G9,HP,Desktop Computer,Tiny,Intel Core i7-14700T,0,DDR5,512,Windows,Integrated,N/A,N/A,N/A,Yes,English,N/A,N/A,N/A,3 Year,"3 year (3/3/3) limited warranty includes 3 years of parts, labor and on-site repair.",desktop,,N/A,https://www.directdial.com/ca/item/hp-elite-mini-800-g9-desktop-computer/a12gvut-aba,09/15/2024,09/17/2024,1
11U50069US,47,1429.0,1579.0,75.0,150.0,ThinkCentre M90q Gen 3,Lenovo,Desktop Computer,Tiny,Intel Core i5-12500,0,DDR5,256,Windows,Integrated,N/A,N/A,N/A,Yes,English,N/A,N/A,2023,3 Year,"Base Warranty 3-year, OnsiteIncluded Upgrade 3Y Premier Support Upgrade from 3Y Onsite",desktop,,N/A,https://www.directdial.com/ca/item/lenovo-thinkcentre-m90q-gen-3-11u50069us-desktop-computer/11u50069us,09/15/2024,09/17/2024,1
2T6X9,439,1031.0,2067.19,269.0,1000.0,OptiPlex 7000 7020,Dell,Desktop Computer,SFF,Intel Core i5-14500,0,DDR5,256,Windows,Integrated,N/A,N/A,N/A,No,English (US),N/A,N/A,2024,3 Year,3Y Basic Onsite Service after remote diagnosis with Hardware-Only Support-Disti SnS,desktop,,N/A,https://www.directdial.com/ca/item/dell-optiplex-7000-7020-desktop-computer/2t6x9,09/15/2024,09/17/2024,1
